year,avg_gdp_pc,avg_gdp_growth,avg_emp_ratio
2000,9066.72,4.31,57.35
2001,9199.785,3.4575,57.2375
2002,9259.025,3.88,57.0475
2003,9448.075,4.0025,56.9925
2004,9807.705,5.78,57.03
2005,10055.6025,5.1075,57.09
2006,10628.872500000001,5.635,57.255
2007,10981.2725,5.5225,57.3925
2008,11043.962500000001,4.115,57.325
2009,10644.8775,0.94,56.83
2010,10840.485,4.705,56.644999999999996
2011,11017.36,3.705,56.7425
2012,11045.465,3.065,56.715
2013,11156.0475,3.1375,56.6075
2014,11279.19,3.215,56.567499999999995
2015,11737.8825,2.585,56.57
2016,11524.0525,3.0725,56.567499999999995
2017,11706.49,3.33,56.5725
2018,11954.56,3.465,56.705
2019,12117.4825,3.165,56.78
2020,11171.2475,-4.217499999999999,55.055
2021,11934.885,5.1425,55.535000000000004
2022,12352.675000000001,4.2875,56.4675
2023,12581.765,3.12,56.9475
